0	0	0
25	0	0
50	0	0
62.5	0	0
75	0	0
87.5	0	0
100	0	0
125	0	0
150	0	0
0	25	0
25	25	0
50	25	0
62.5	25	0
75	25	0
87.5	25	0
100	25	0
125	25	0
150	25	0
0	50	0
25	50	0
50	50	0
62.5	50	0
75	50	0
87.5	50	0
100	50	0
125	50	0
150	50	0
0	75	0
25	75	0
53.12	75	0
63.28	72.66	0
75	71.88	0
86.72	72.66	0
96.88	75	0
125	75	0
150	75	0
0	100	0
25	100	0
62.5	100	0
65.75	91	0
75	87	0
84.25	91	0
87.5	100	0
125	100	0
150	100	0
0	0	10
25	0	10
50	0	10
62.5	0	10
75	0	10
87.5	0	10
100	0	10
125	0	10
150	0	10
0	25	10
25	25	10
50	25	10
62.5	25	10
75	25	10
87.5	25	10
100	25	10
125	25	10
150	25	10
0	50	10
25	50	10
50	50	10
62.5	50	10
75	50	10
87.5	50	10
100	50	10
125	50	10
150	50	10
0	75	10
25	75	10
53.12	75	10
63.28	72.66	10
75	71.88	10
86.72	72.66	10
96.88	75	10
125	75	10
150	75	10
0	100	10
25	100	10
62.5	100	10
65.75	91	10
75	87	10
84.25	91	10
87.5	100	10
125	100	10
150	100	10
