0	0	0	1
0	0	10	1
0	0	30	1
0	0	45	1
0	0	55	1
0	0	65	1
0	0	75	1
0	0	85	1
0	0	92.5	1
0	0	97.5	1
0	0	100	1
12.27556	0	0	1
11.25247	0	9.997383	1
9.206306	0	29.99215	1
7.671681	0	44.98822	1
6.648597	0	54.98561	1
5.625514	0	64.98299	1
4.60243	0	74.98037	1
3.579346	0	84.97776	1
2.812034	0	92.47579	1
2.300492	0	97.47448	1
2.044721	0	99.97383	1
37.00623	0	0	1
33.89686	0	10.05282	1
27.67814	0	30.15846	1
23.01409	0	45.2377	1
19.90473	0	55.29052	1
16.79537	0	65.34334	1
13.68601	0	75.39616	1
10.57664	0	85.44898	1
8.244622	0	92.9886	1
6.68994	0	98.01501	1
5.9126	0	100.5282	1
61.91645	0	0	1
56.6807	0	10.16893	1
46.20919	0	30.5068	1
38.35556	0	45.76019	1
33.11981	0	55.92912	1
27.88405	0	66.09806	1
22.6483	0	76.26699	1
17.41255	0	86.43592	1
13.48573	0	94.06262	1
10.86785	0	99.14708	1
9.558915	0	101.6893	1
87.00623	0	0	1
79.60397	0	10.34571	1
64.79946	0	31.03714	1
53.69607	0	46.55572	1
46.29382	0	56.90143	1
38.89156	0	67.24714	1
31.48931	0	77.59286	1
24.08705	0	87.93857	1
18.53536	0	95.69786	1
14.83423	0	100.8707	1
12.98367	0	103.4571	1
112.2756	0	0	1
102.6667	0	10.58317	1
83.44895	0	31.74951	1
69.03564	0	47.62426	1
59.42677	0	58.20743	1
49.8179	0	68.7906	1
40.20903	0	79.37377	1
30.60016	0	89.95694	1
23.39351	0	97.89432	1
18.58907	0	103.1859	1
16.18686	0	105.8317	1
125	0	0	1
114.2678	0	10.73223	1
92.8033	0	32.1967	1
76.70495	0	48.29505	1
65.97272	0	59.02728	1
55.24048	0	69.75952	1
44.50825	0	80.49175	1
33.77602	0	91.22398	1
25.72684	0	99.27316	1
20.36073	0	104.6393	1
17.67767	0	107.3223	1
125	0	12.73845	1
114.4142	0	22.34723	1
93.24268	0	41.56479	1
77.36403	0	55.97796	1
66.77825	0	65.58674	1
56.19248	0	75.19552	1
45.60671	0	84.8043	1
35.02094	0	94.41308	1
27.08161	0	101.6197	1
21.78872	0	106.4241	1
19.14228	0	108.8262	1
125	0	38.0246	1
114.6486	0	45.42666	1
93.94568	0	60.23077	1
78.41852	0	71.33385	1
68.06708	0	78.73591	1
57.71564	0	86.13796	1
47.3642	0	93.54002	1
37.01276	0	100.9421	1
